,cue,association,explanation,relation,WorkerId
0,ability,capability,ability is the capability to do a particular job.,Synonym,10
1,ability,capability,ability is the capability to do a particular job.,Synonym,9
2,ability,capability,ability is the capability to do a particular job.,Has-Prerequisite,7
3,ability,capability,ability is the capability to do a particular job.,Synonym,5
4,ability,capability,ability is the capability to do a particular job.,Synonym,2
5,absolute,sure,"if something is absolute, you can be sure about it.",Has-Prerequisite,7
6,absolute,sure,"if something is absolute, you can be sure about it.",Result-In,4
7,absolute,sure,"if something is absolute, you can be sure about it.",Synonym,5
8,absolute,sure,"if something is absolute, you can be sure about it.",Synonym,3
9,adept,smart,a smart person is very adept at learning.,HasProperty,7
10,adept,smart,a smart person is very adept at learning.,HasProperty,5
11,adept,smart,a smart person is very adept at learning.,Synonym,4
12,adept,smart,a smart person is very adept at learning.,Synonym,2
13,admiral,chief,admirals and chiefs are leaders in the world.,Members-of-the-same-Category,4
14,admiral,chief,admirals and chiefs are leaders in the world.,Members-of-the-same-Category,5
15,admiral,chief,admirals and chiefs are leaders in the world.,Members-of-the-same-Category,2
16,admiral,rear,a rear admiral is a high ranking officer in the military.,Common-Phrase,6
17,admiral,rear,a rear admiral is a high ranking officer in the military.,Common-Phrase,2
18,admiral,rear,a rear admiral is a high ranking officer in the military.,Common-Phrase,7
19,admiral,rear,a rear admiral is a high ranking officer in the military.,Common-Phrase,5
20,agent,person,an agent is a person who acts on behalf of another person.,Function,5
21,agent,person,an agent is a person who acts on behalf of another person.,Thematic,6
22,agent,person,an agent is a person who acts on behalf of another person.,Thematic,8
23,agent,person,an agent is a person who acts on behalf of another person.,Thematic,2
24,agent,represent,she employed an agent to represent her to handle the rental business.,Function,6
25,agent,represent,she employed an agent to represent her to handle the rental business.,Function,5
26,agent,represent,she employed an agent to represent her to handle the rental business.,Function,8
27,agent,represent,she employed an agent to represent her to handle the rental business.,Function,2
28,agreeable,willing,"when a person is willing to do something, they are considered agreeable.",Synonym,7
29,agreeable,willing,"when a person is willing to do something, they are considered agreeable.",Synonym,6
30,agreeable,willing,"when a person is willing to do something, they are considered agreeable.",Emotion-Evaluation,3
31,agreeable,willing,"when a person is willing to do something, they are considered agreeable.",Synonym,5
32,airport,runway,the runway at the airport is for planes to take off and land.,Location,10
33,airport,runway,the runway at the airport is for planes to take off and land.,Location,9
34,airport,runway,the runway at the airport is for planes to take off and land.,Location,6
35,airport,runway,the runway at the airport is for planes to take off and land.,PartOf,2
36,airport,runway,the runway at the airport is for planes to take off and land.,Function,5
37,airport,runway,the runway at the airport is for planes to take off and land.,PartOf,7
38,amass,army,an army is a thing that you can amass.,Action,4
39,amass,army,an army is a thing that you can amass.,Action,5
40,amass,army,an army is a thing that you can amass.,Action,2
41,amass,collect,if you amass something then you collect a lot of it.,Synonym,4
42,amass,collect,if you amass something then you collect a lot of it.,Synonym,7
43,amass,collect,if you amass something then you collect a lot of it.,Synonym,3
44,amass,collect,if you amass something then you collect a lot of it.,Synonym,5
45,amass,fortune,"when someone is very, very rich, they are known to have amassed a fortune.",Action,10
46,amass,fortune,"when someone is very, very rich, they are known to have amassed a fortune.",Action,9
47,amass,fortune,"when someone is very, very rich, they are known to have amassed a fortune.",Has-Prerequisite,5
48,amass,fortune,"when someone is very, very rich, they are known to have amassed a fortune.",Common-Phrase,6
49,amass,fortune,"when someone is very, very rich, they are known to have amassed a fortune.",Result-In,8
50,amass,fortune,"when someone is very, very rich, they are known to have amassed a fortune.",Action,3
51,amiable,popular,her amiable character makes her very popular among her friends.,Result-In,10
52,amiable,popular,her amiable character makes her very popular among her friends.,Result-In,9
53,amiable,popular,her amiable character makes her very popular among her friends.,Result-In,7
54,amiable,popular,her amiable character makes her very popular among her friends.,Has-Prerequisite,4
55,amiable,popular,her amiable character makes her very popular among her friends.,Result-In,3
56,amiable,warm,an amiable person is very warm and friendly.,HasProperty,10
57,amiable,warm,an amiable person is very warm and friendly.,HasProperty,9
58,amiable,warm,an amiable person is very warm and friendly.,HasProperty,4
59,amiable,warm,an amiable person is very warm and friendly.,Synonym,7
60,amiable,warm,an amiable person is very warm and friendly.,Emotion-Evaluation,3
61,amiable,warm,an amiable person is very warm and friendly.,HasProperty,5
62,ammunition,shells,ammunition is a supply of shells.,PartOf,10
