,label,text
0,0,ability [SEP] capability
1,0,absolute [SEP] sure
2,13,admirals [SEP] chiefs
3,7,agent [SEP] person
4,4,agent [SEP] represent
5,0,agreeable [SEP] willing
6,6,amiable [SEP] popular
7,0,anger [SEP] mad
8,12,appointments [SEP] early
9,12,appointment [SEP] late
10,12,appointment [SEP] time
11,0,attending [SEP] present
12,0,awful [SEP] rude
13,7,bagpipes [SEP] kilts
14,8,baked [SEP] oven
15,5,bastard [SEP] mean
16,3,beauty [SEP] natural
17,15,belong [SEP] group
18,7,biblical [SEP] eden
19,10,bibliography [SEP] titles
20,4,blender [SEP] fruits
21,5,bodily [SEP] alive
22,3,bodily [SEP] excrements
23,5,bodily [SEP] warm
24,0,brave [SEP] tough
25,6,breaks [SEP] crack
26,6,breaks [SEP] split
27,4,breath [SEP] gum
28,2,breath [SEP] inhale
29,6,breath [SEP] oxygen
30,2,bridges [SEP] driving
31,9,bring [SEP] carry
32,11,bring [SEP] take
33,1,brought [SEP] took
34,4,bucket [SEP] wash
35,7,bunch [SEP] bananas
36,7,bunch [SEP] grapes
37,7,bunch [SEP] roses
38,9,career [SEP] work
39,0,careful [SEP] cautious
40,0,careful [SEP] safe
41,2,carnivore [SEP] prey
42,5,castle [SEP] huge
43,12,castle [SEP] medieval
44,14,castle [SEP] stone
45,0,certain [SEP] sure
46,13,champagne [SEP] beer
47,3,change [SEP] spare
48,9,charity [SEP] humanitarian
49,5,chart [SEP] visual
50,0,cheap [SEP] frugal
51,0,classy [SEP] elegant
52,6,clients [SEP] money
53,2,closed [SEP] business
54,2,closed [SEP] window
55,5,clowns [SEP] silly
56,9,coach [SEP] leader
57,2,comes [SEP] santa
58,5,commander [SEP] authority
59,8,commander [SEP] ship
60,0,concerned [SEP] worried
61,5,contract [SEP] enforceable
62,9,conundrum [SEP] problem
63,7,correct [SEP] test
64,3,cosmopolitan [SEP] city
65,0,cosmopolitan [SEP] modern
66,0,covered [SEP] discussed
67,4,covered [SEP] umbrella
68,6,crazy [SEP] attacked
69,7,danger [SEP] robot
70,2,deflated [SEP] footballs
71,13,deluge [SEP] torrent
72,7,detective [SEP] columbo
73,1,different [SEP] same
74,6,dilutes [SEP] concentration
75,0,discourse [SEP] conversation
76,2,dollar [SEP] earn
77,3,dressed [SEP] best
78,11,driving [SEP] permit
79,9,dropping [SEP] accident
80,8,education [SEP] school
81,4,education [SEP] teacher
82,6,elated [SEP] relief
83,6,emergency [SEP] ambulance
84,15,enjoy [SEP] music
85,2,exceeding [SEP] speed
86,0,excellent [SEP] perfect
87,13,faithful [SEP] committed
88,13,faithful [SEP] respect
89,3,fancy [SEP] feast
90,5,flashlight [SEP] bright
91,10,floor [SEP] area
92,0,freedom [SEP] independent
93,3,funny [SEP] stories
94,5,genius [SEP] brilliant
95,2,giving [SEP] donations
96,15,giving [SEP] kind
97,1,giving [SEP] taking
98,2,glass [SEP] break
99,3,glass [SEP] drinking
100,5,glittery [SEP] decorate
101,2,glutton [SEP] food
102,5,glutton [SEP] overeats
103,4,goalie [SEP] score
104,0,going [SEP] leaving
105,2,goodness [SEP] appraised
106,0,goodness [SEP] benevolence
107,3,grand [SEP] adventure
108,0,grand [SEP] large
109,9,grandmother [SEP] mom
110,3,growing [SEP] bigger
111,2,guess [SEP] answer
112,9,guess [SEP] designer
113,6,guess [SEP] insufficient
114,6,guess [SEP] unsure
115,8,gypsies [SEP] europe
116,2,gypsy [SEP] natalie
117,3,gypsy [SEP] rose
118,12,happening [SEP] current
119,7,happening [SEP] flop
120,7,happening [SEP] wahlberg
121,2,hatch [SEP] chicken
122,2,hitch [SEP] interrupted
123,6,hitch [SEP] problem
124,0,holding [SEP] carrying
125,5,honey [SEP] sweet
126,0,horrified [SEP] disgusted
127,7,hotel [SEP] brolin
128,2,hotel [SEP] reservations
129,7,humane [SEP] animals
130,0,humane [SEP] ethical
131,2,hydrate [SEP] exercise
132,4,idiom [SEP] advice
133,4,idiom [SEP] comparison
134,10,ignition [SEP] car
135,11,ignition [SEP] fuel
136,0,implement [SEP] enact
137,15,impossible [SEP] achieve
138,7,impossible [SEP] cruise
139,0,impossible [SEP] unable
140,13,improbable [SEP] impossible
141,6,indecent [SEP] exposed
142,5,intuitive [SEP] gut
143,3,jungle [SEP] book
144,5,jungle [SEP] exotic
145,7,junior [SEP] schwarzenegger
146,8,laughter [SEP] playground
147,7,leaving [SEP] denver
148,9,lieutenant [SEP] officer
149,2,listen [SEP] friend
150,6,loosen [SEP] releases
151,7,lover [SEP] doris
152,7,lover [SEP] simon
153,15,loving [SEP] caretakers
154,13,loving [SEP] tender
155,8,magazines [SEP] celebrities
156,9,magazine [SEP] vogue
157,0,majority [SEP] most
158,4,makeup [SEP] beautiful
159,5,makeup [SEP] colorful
160,10,memory [SEP] mind
