,cue,association,explanation,relation,source
0,ability,capability,ability is the capability to do a particular job .,synonym,original
1,absolute,sure,"if something is absolute , you can be sure about it .",synonym,original
2,admirals,chiefs,admirals and chiefs are leaders in the world .,members-of-the-same-category,original
3,agent,person,an agent is a person who acts on behalf of another person .,thematic,original
4,agent,represent,she employed an agent to represent her to handle the rental business .,function,original
5,agreeable,willing,"when a person is willing to do something , they are considered agreeable .",synonym,original
6,amiable,popular,her amiable character makes her very popular among her friends .,result-in,original
7,anger,mad,"when someone is really mad and yelling , they are having a fit of anger .",synonym,original
8,appointments,early,i try to be early for my appointments .,time,original
9,appointment,late,sometimes i am late for my appointment .,time,original
10,appointment,time,an appointment is a scheduled date and time for a meeting .,time,original
11,attending,present,attending an event means that you are present at the venue .,synonym,original
12,awful,rude,someone very rude would be considered awful .,synonym,original
13,bagpipes,kilts,men playing bagpipes often wear kilts .,thematic,original
14,baked,oven,if something was baked then it was cooked in an oven .,location,original
15,bastard,mean,"when a man is mean , he may be called a bastard .",hasproperty,original
16,beauty,natural,some women are lucky enough to have a natural beauty .,common-phrase,original
17,belong,group,i like to feel like i belong when i am part of a group .,emotion-evaluation,original
18,biblical,eden,the garden of eden is a biblical place .,thematic,original
19,bibliography,titles,bibliography contains the titles of the works .,partof,original
20,blender,fruits,my blender mostly blends fruits .,function,original
21,bodily,alive,bodily parts are alive .,hasproperty,original
22,bodily,excrements,bodily excrements are anything that is not used by the body and removed .,common-phrase,original
23,bodily,warm,bodily parts have a warm temperature .,hasproperty,original
24,brave,tough,a person that is brave is very tough .,synonym,original
25,breaks,crack,when something breaks it might have a crack in it .,result-in,original
26,breaks,split,if something breaks then it might be split in two .,result-in,original
27,breath,gum,i like to chew gum to keep my breath fresh .,function,original
28,breath,inhale,to breath you must inhale .,action,original
29,breath,oxygen,when you breath you inhale oxygen .,result-in,original
30,bridges,driving,driving across really high or old bridges is scary .,action,original
31,bring,carry,"when you bring something , you need to carry it .",category-exemplar-pairs,original
32,bring,take,you must take the object to bring it with you .,has-prerequisite,original
33,brought,took,the opposite of took it home with her is brought it here with her .,antonym,original
34,bucket,wash,i use a bucket to wash my car .,function,original
35,bunch,bananas,i buy a bunch of bananas every time i go to the grocery store .,thematic,original
36,bunch,grapes,i like to set out a bunch of grapes for my family to snack on .,thematic,original
37,bunch,roses,you very commonly find roses sold in a bunch .,thematic,original
38,career,work,the work you do for the rest of your life is considered your career .,category-exemplar-pairs,original
39,careful,cautious,someone who is careful is usually cautious .,synonym,original
40,careful,safe,"if you want to be careful , then you 're trying to be safe .",synonym,original
41,carnivore,prey,carnivore animals chase after and eat their prey .,action,original
42,castle,huge,a castle is made up of several huge towers .,hasproperty,original
43,castle,medieval,a castle is a large building commonly found in the medieval period .,time,original
44,castle,stone,a castle is often made of stone .,material-madeof,original
45,certain,sure,"when someone is sure about something , they are certain .",synonym,original
46,champagne,beer,champagne and beer are both alcoholic drinks .,members-of-the-same-category,original
47,change,spare,some people save their spare change in a container .,common-phrase,original
48,charity,humanitarian,"when doing humanitarian work , it is usually connected to a charity .",category-exemplar-pairs,original
49,chart,visual,a chart is a visual representation of data .,hasproperty,original
50,cheap,frugal,"it is generally okay to be frugal , but that 's different than being totally cheap .",synonym,original
51,classy,elegant,his classy girlfriend always acts in an elegant manner .,synonym,original
52,clients,money,companies make money by providing services to their clients .,result-in,original
53,closed,business,this business has been closed for one month .,action,original
54,closed,window,i closed the window because it was raining outside .,action,original
55,clowns,silly,clowns are very silly characters .,hasproperty,original
56,coach,leader,the coach was a leader for his team .,category-exemplar-pairs,original
57,comes,santa,kids know that santa comes on christmas eve .,action,original
58,commander,authority,the commander is a person who is an authority figure .,hasproperty,original
59,commander,ship,a ship has a commander .,location,original
60,concerned,worried,"when a person is worried about another person , they are concerned for them .",synonym,original
61,contract,enforceable,a contract is a written agreement enforceable by law .,hasproperty,original
62,conundrum,problem,a conundrum is a problem that is hard to solve .,category-exemplar-pairs,original
63,correct,test,"when a student takes a test , the teacher checks to see which answers are correct .",thematic,original
64,cosmopolitan,city,many young people love living in a cosmopolitan city to experience the diverse culture .,common-phrase,original
65,cosmopolitan,modern,new york city is a modern cosmopolitan metropolis .,synonym,original
66,covered,discussed,if something has been covered then it 's been discussed .,synonym,original
67,covered,umbrella,people like to use an umbrella to be covered against the rain .,function,original
68,crazy,attacked,the woman suddenly became crazy and attacked the people around her .,result-in,original
69,danger,robot,"the robot in the old tv show "" lost in space "" ran around saying danger ! danger ! all the time .",thematic,original
70,deflated,footballs,tom brady deflated footballs in a game in order to cheat .,action,original
71,deluge,torrent,a deluge and a torrent are both big rushes of water .,members-of-the-same-category,original
72,detective,columbo,columbo is a much - loved tv homicide detective .,thematic,original
73,different,same,different is the opposite of same .,antonym,original
74,dilutes,concentration,"when someone dilutes a sample , they change the concentration of the sample .",result-in,original
75,discourse,conversation,engaging in discourse means that you are having a conversation .,synonym,original
76,dollar,earn,i work hard to earn every dollar to make ends meet .,action,original
77,dressed,best,there are plenty of best - dressed lists for celebrities .,common-phrase,original
78,driving,permit,my daughter got a driving permit .,has-prerequisite,original
79,dropping,accident,dropping something is usually an accident .,category-exemplar-pairs,original
80,education,school,you get an education in school .,location,original
81,education,teacher,you get an education from your teacher .,function,original
82,elated,relief,i can imagine being elated when i feel relief over something that i had been worried about .,result-in,original
83,emergency,ambulance,"if you have an emergency , you need to call an ambulance .",result-in,original
84,enjoy,music,i enjoy listening to my favorite music .,emotion-evaluation,original
85,exceeding,speed,"when a driver gets caught exceeding the speed limit , they get a ticket .",action,original
86,excellent,perfect,the closest to excellent is perfect,synonym,original
87,faithful,committed,being faithful in a relationship involves being committed to the other person .,members-of-the-same-category,original
88,faithful,respect,i do my best to show my friends that i respect and am faithful to them .,members-of-the-same-category,original
89,fancy,feast,fancy feast is a brand name of cat food .,common-phrase,original
90,flashlight,bright,a flashlight has to be bright in order for it to be useful .,hasproperty,original
91,floor,area,a floor covers a large area .,partof,original
92,freedom,independent,freedom is when you are independent from your parents .,synonym,original
93,funny,stories,he always tell funny stories to entertain his friends .,common-phrase,original
94,genius,brilliant,a genius always has a brilliant performance in many tasks compared with average people .,hasproperty,original
95,giving,donations,goodwill is a company that relies on people giving donations of products .,action,original
96,giving,kind,giving a gift to someone is very kind .,emotion-evaluation,original
97,giving,taking,the opposite of giving is taking .,antonym,original
98,glass,break,it is easy to break glass .,action,original
99,glass,drinking,you put beverages in a drinking glass .,common-phrase,original
100,glittery,decorate,i use glittery stuff to decorate the christmas tree .,hasproperty,original
101,glutton,food,a glutton eats too much food .,action,original
102,glutton,overeats,a glutton is a person who overeats .,hasproperty,original
103,goalie,score,the job of the goalie is to make sure the other team does not score .,function,original
104,going,leaving,"when someone is going somewhere , they are leaving the place they are currently .",synonym,original
105,goodness,appraised,his goodness is always appraised by his coworkers .,action,original
106,goodness,benevolence,benevolence is a sign of goodness in a person .,synonym,original
107,grand,adventure,we had a grand adventure .,common-phrase,original
108,grand,large,"if an object is said to be grand , it means very large .",synonym,original
109,grandmother,mom,my mom 's mother is my grandmother .,category-exemplar-pairs,original
110,growing,bigger,the baby 's head has been growing bigger since birth .,common-phrase,original
111,guess,answer,students are asked to guess the answer to a difficult question .,action,original
112,guess,designer,guess is a designer fashion company .,category-exemplar-pairs,original
113,guess,insufficient,i guess the answer to the question with insufficient information given .,result-in,original
114,guess,unsure,"if a person is unsure about something , they make a guess .",result-in,original
115,gypsies,europe,gypsies now mainly live in europe .,location,original
116,gypsy,natalie,natalie wood played gypsy rose lee in a movie .,action,original
117,gypsy,rose,gypsy rose lee was a famous stripper .,common-phrase,original
118,happening,current,i like to read about current events that are happening .,time,original
119,happening,flop,"the movie , the happening , was a major hollywood flop .",thematic,original
120,happening,wahlberg,mark wahlberg starred in a movie called the happening .,thematic,original
121,hatch,chicken,"when chicken 's eggs hatch , chicks are born .",action,original
122,hitch,interrupted,the hitch in the job has interrupted the progress .,action,original
123,hitch,problem,the hitch in the task caused a problem to the team .,result-in,original
124,holding,carrying,if you 're holding something then you 're carrying it .,synonym,original
125,honey,sweet,honey is a very sweet substance .,hasproperty,original
126,horrified,disgusted,horrified is another way to say disgusted .,synonym,original
127,hotel,brolin,"james brolin starred in a tv show called "" hotel . """,thematic,original
128,hotel,reservations,it is a good idea to make reservations at a hotel before your trip .,action,original
129,humane,animals,people try to act in a humane way toward animals .,thematic,original
130,humane,ethical,"if someone is humane , they act in an ethical way .",synonym,original
131,hydrate,exercise,i try to make sure i hydrate when i exercise .,action,original
132,idiom,advice,an idiom can be used to give advice in an easy to understand way .,function,original
133,idiom,comparison,an idiom uses a comparison to something unrelated .,function,original
134,ignition,car,you put a key in the ignition in a car to start it .,partof,original
135,ignition,fuel,i added some diesel fuel to the engine to allow ignition .,has-prerequisite,original
136,implement,enact,to implement something is to enact it .,synonym,original
137,impossible,achieve,my boss loves to set business goals that are impossible to achieve .,emotion-evaluation,original
138,impossible,cruise,tom cruise stars in the mission impossible movies .,thematic,original
139,impossible,unable,"when someone is unable to do something , they find it impossible .",synonym,original
140,improbable,impossible,if something is improbable then it 's almost impossible .,members-of-the-same-category,original
141,indecent,exposed,"if someone goes to school with their cleavage exposed , it is considered indecent .",result-in,original
142,intuitive,gut,an intuitive person believes in their gut feelings .,hasproperty,original
143,jungle,book,"rudyard kipling wrote "" the jungle book . """,common-phrase,original
144,jungle,exotic,the jungle sounds very exotic .,hasproperty,original
145,junior,schwarzenegger,"arnold schwarzenegger starred in a movie called "" junior """,thematic,original
146,laughter,playground,much laughter can be heard on a playground .,location,original
147,leaving,denver,"john denver wrote a song called "" leaving on a jet plane . """,thematic,original
148,lieutenant,officer,a lieutenant is a commissioned officer in the armed forces .,category-exemplar-pairs,original
149,listen,friend,a friend is a person you can turn to when you need someone to listen .,action,original
150,loosen,releases,if you loosen a knot it releases .,result-in,original
151,lover,doris,""" lover come back "" is a movie with doris day and rock hudson .",thematic,original
152,lover,simon,"paul simon wrote a song called "" 50 ways to leave your lover . """,thematic,original
153,loving,caretakers,caretakers act very loving towards their children .,emotion-evaluation,original
154,loving,tender,everyone should try to be loving and tender to their family .,members-of-the-same-category,original
155,magazines,celebrities,celebrities usually cover the pages of magazines .,location,original
156,magazine,vogue,vogue is an american fashion and lifestyle magazine .,category-exemplar-pairs,original
157,majority,most,majority is another way to say most .,synonym,original
158,makeup,beautiful,i wear makeup in the morning to look more beautiful .,function,original
159,makeup,colorful,some makeup has colorful shades .,hasproperty,original
160,memory,mind,your memory comes from your mind .,partof,original
161,miles,distance,"she can run for many miles , so her distance is high .",thematic,original
162,misguided,wrong,"when someone has been misguided , they have been given the wrong facts .",synonym,original
163,mission,secret,a secret mission is something that spies go on .,common-phrase,original
164,mommy,child,a child often wants their mommy .,thematic,original
165,mommy,daddy,a mommy and a daddy are often a child 's parents .,members-of-the-same-category,original
166,month,july,independence day is in the month of july .,category-exemplar-pairs,original
167,mountain,fuji,mt . fuji is a famous mountain in japan .,category-exemplar-pairs,original
168,movies,scripted,movies are scripted stories about life .,hasproperty,original
169,obstruct,plan,i will not let anyone obstruct my plan .,action,original
170,operator,phone,you used to be able to talk to an operator on the phone .,thematic,original
171,operator,sade,"sade sang the song "" smooth operator . """,thematic,original
172,operator,user,"if someone is an operator of something , then they 're a user of it .",synonym,original
173,opinions,disagreement,"sometimes when people state their opinions , it can lead to a disagreement .",result-in,original
174,order,fries,a lot of people order fries with their meals .,action,original
175,organization,company,a company can also be called an organization .,synonym,original
176,outspoken,loudly,people who are outspoken often speak loudly .,hasproperty,original
177,outspoken,vehement,if someone is outspoken they are often vehement in their beliefs .,hasproperty,original
178,overdue,books,books can be overdue at the library .,time,original
179,overdue,fine,"if a book is overdue at the library , you pay a fine .",result-in,original
180,paper,plastic,paper and plastic are two options for bags .,members-of-the-same-category,original
181,passing,by,"when someone walks past you , they are just passing by .",common-phrase,original
182,passing,cautious,i am cautious when passing another vehicle .,action,original
183,patients,hospital,a hospital has many patients .,location,original
184,pensive,elderly,an elderly person can appear pensive when they are deep in thought .,hasproperty,original
185,permission,allowing,"if i give my child permission to spend the night at a friends , i am allowing them to sleep there .",synonym,original
186,permission,song,"when using a famous song for their own project , people must get permission from the song 's owner .",has-prerequisite,original
187,pieces,whole,many pieces make up a whole .,partof,original
188,planet,pluto,scientist have decided pluto is only a dwarf planet .,category-exemplar-pairs,original
189,poison,dangerous,poison is a dangerous substance and should be kept away from children .,hasproperty,original
190,politics,republicans,republicans are a top party in politics .,category-exemplar-pairs,original
191,position,second,second is a position in ballet .,thematic,original
192,possibilities,choose,i need to choose an answer out of several possibilities .,action,original
193,possibility,face,he will face the possibility of being fired by his company due to misconduct .,action,original
194,possible,can,if something is possible it means i think i can do it,synonym,original
195,possible,chance,"if something is possible , there is a chance that it might happen .",synonym,original
196,powder,face,some people put powder on their face .,location,original
197,prepared,plan,having a plan for something makes you feel more prepared .,result-in,original
198,pressure,constraints,constraints can build up pressure and force .,result-in,original
199,printer,cartridge,an ink cartridge needs to be installed in a printer .,partof,original
200,priority,concern,your top priority is your main concern .,synonym,original
201,priority,rushed,"when something at the post office needs to be rushed , it will be stamped priority .",has-prerequisite,original
202,profit,money,profit is how much money you make .,category-exemplar-pairs,original
203,prohibition,denied,prohibition denied citizens the right to drink alcohol .,action,original
204,promoted,good,he gets promoted due to his good job performance .,has-prerequisite,original
205,protect,rights,the constitution is meant to protect the rights of all americans .,function,original
206,prove,theory,scientists like to prove a theory .,action,original
207,publicity,celebrity,a celebrity generally craves good publicity .,thematic,original
208,purpose,reason,something 's purpose is its reason for being .,synonym,original
209,quickly,fast,he is running fast to the bus stop to quickly get into the bus .,synonym,original
210,radioactive,atoms,"when the atoms of an element break apart , it produces radioactive energy .",result-in,original
211,radioactive,nuclear,nuclear energy uses things that are radioactive .,hasproperty,original
212,raspberries,jam,raspberries can be made into jam .,material-madeof,original
213,rational,smart,you are smart if you think in a rational way .,hasproperty,original
214,ready,start,if you say you are ready then you want to start .,time,original
215,ready,time,i always try to get ready in time so i am not late .,time,original
216,realistic,pragmatic,a pragmatic person looks at life in a realistic way .,synonym,original
217,reality,fantasy,fantasy is the opposite of reality .,antonym,original
218,reality,live,it is good to live in reality .,action,original
219,refreshment,water,water is the best refreshment on the planet .,category-exemplar-pairs,original
220,refuge,safe,"when you are given refuge , you can feel safe .",has-prerequisite,original
221,refuge,security,a refuge is a place of security .,synonym,original
222,reigns,subjects,a ruler reigns over his loyal subjects .,action,original
223,relationship,close,i had a close relationship with my parents .,common-phrase,original
224,report,sound,a firework with report will make a loud sound .,hasproperty,original
225,restaurants,gather,people sometimes gather at restaurants .,location,original
226,review,evaluate,"when you review a document , you evaluate how good it is so far .",synonym,original
227,roller,spin,a roller ball is made to spin .,function,original
228,roman,empire,the roman empire is an ancient country .,common-phrase,original
229,roman,numerals,roman numerals are different from the arabic numerals we use now .,common-phrase,original
230,runny,mucus,the runny implies a nose rilled with mucus,hasproperty,original
231,safe,fearless,"when you feel safe , you feel fearless .",result-in,original
232,safe,relieved,a person gets relieved when he goes to safe place .,result-in,original
233,salad,dressing,the secret to a great salad is the dressing .,emotion-evaluation,original
234,salsa,spicy,salsa is usually good and spicy .,hasproperty,original
235,sandpaper,wood,i use sandpaper to smooth the wood before staining .,function,original
236,scared,ghost,most people are scared of ghost .,emotion-evaluation,original
237,scared,murder,the residents are scared of the recent murder occurred in the community .,emotion-evaluation,original
238,scout,evaluates,a scout evaluates a players skills .,function,original
239,scout,investigate,"when you scout a prospect , you investigate them and their abilities .",synonym,original
240,scrap,rid,when you scrap something you get rid of it,synonym,original
241,senators,voted,one - third of the total membership of the senators get voted every two years .,action,original
242,sending,receiving,the opposite of sending something is receiving something .,antonym,original
243,series,string,the television series is an interesting string of happenings put together .,partof,original
244,shadowy,dark,"in the dark , everything can look shadowy .",hasproperty,original
245,shady,sneaky,someone who is shady acts sneaky .,synonym,original
246,shady,tree,a tree with lots of leaves is shady .,result-in,original
247,shaker,pepper,pepper is frequently kept in a shaker .,location,original
248,shape,condition,"the shape an object is in , is the condition of it .",synonym,original
249,shrivels,withers,"when a flower withers , it shrivels down in size .",result-in,original
250,signal,informs,a signal informs people what to do .,function,original
251,signal,react,people react to the signal given .,result-in,original
252,silver,utensils,utensils are often silver colored .,hasproperty,original
253,simple,living,my philosophy on living is to keep everything simple .,thematic,original
254,sister,daughter,my sister is my mother 's daughter .,members-of-the-same-category,original
255,skills,hobby,some people have skills that they have turned into a hobby .,result-in,original
256,skill,sports,some people have a high level of skill in sports .,thematic,original
257,sling,support,i use an arm sling to support my broken arm .,function,original
258,soldier,billy,""" one tin soldier "" was the theme song for the movie "" billy jack . """,thematic,original
259,soldiers,fighters,soldiers are trained fighters for war .,category-exemplar-pairs,original
260,soldier,tomb,the tomb of the unknown soldier is in arlington national cemetery .,location,original
261,spare,change,coins are often called spare change .,common-phrase,original
262,special,interesting,if something is special then it 's often interesting .,synonym,original
263,spotted,leopard,a leopard is a spotted big cat .,hasproperty,original
264,stairs,floors,the stairs take you to different floors in the house .,partof,original
265,stall,car,if you do n't shift correctly then your car can stall .,action,original
266,standing,feet,my feet hurt when i 've been standing for a long time .,result-in,original
267,standing,posture,"when someone is standing , their posture can be observed .",result-in,original
268,steady,endurance,running at a steady pace shows that you have endurance .,has-prerequisite,original
269,steady,race,moving at a steady pace is a good method for running a race .,action,original
270,store,purchase,you can purchase many things in a store .,location,original
271,strand,thread,a strand of thread is used for sewing .,partof,original
272,strategic,calculated,a strategic plan is careful calculated .,synonym,original
273,strategic,tactical,a strategic plan should be very tactical .,synonym,original
274,support,politician,you can support a politician by putting a yard sign in your yard .,action,original
275,supportive,helpful,being helpful to show you are supportive of a friend is great .,synonym,original
276,surpasses,excel,"when a person surpasses what they 're are supposed to do , they excel .",synonym,original
277,surprise,birthday,people like to surprise their loved ones with a party on their birthday .,time,original
278,sweet,caroline,"neil diamond had a huge hit with the song "" sweet caroline . """,common-phrase,original
279,tablets,ipad,the ipad is one of the most popular tablets .,category-exemplar-pairs,original
280,tactful,conversation,when having a conversation you have to be tactful with your words so you do n't hurt anyone 's feelings .,action,original
281,tactful,words,"when trying to be tactful , you need to choose your words carefully .",has-prerequisite,original
282,temptation,dessert,i think dessert is a temptation for many people .,emotion-evaluation,original
283,temptation,resist,people often try to resist temptation .,common-phrase,original
284,thousand,million,a million comes after a thousand .,members-of-the-same-category,original
285,thousand,years,a thousand years is a length of time .,common-phrase,original
286,throat,sore,a sore throat is associated with colds and flu .,hasproperty,original
287,tired,feel,i feel tired after a long day of work .,emotion-evaluation,original
288,tired,working,he is tired after working overtime for two days .,result-in,original
289,total,all,the total number of an object includes all of them .,synonym,original
290,tradition,jimmy,"many people have the tradition at christmas time of watching "" it 's a wonderful life "" with jimmy stewart .",thematic,original
291,trial,verdict,a trial has the outcome of a verdict .,result-in,original
292,truth,honest,someone who tells the truth is honest .,synonym,original
293,twist,cap,you twist the cap off a bottle .,action,original
294,understand,language,when someone speaks a second language they understand it .,action,original
295,vacation,chevy,"chevy chase starred in a move called "" vacation . """,thematic,original
296,vacuum,noisy,a vacuum is noisy when it is working .,hasproperty,original
297,vampire,sharp,a vampire has two sharp teeth .,hasproperty,original
298,vampire,sunlight,a vampire is afraid of being exposed to sunlight .,thematic,original
299,vegetation,food,vegetation is grown to make food for humans .,function,original
300,vegetation,water,the process of vegetation requires supply of water .,has-prerequisite,original
301,violated,breached,"when a building is breached , someone has violated the safety blocks .",synonym,original
302,vivid,bright,"when a photo is vivid , the colors are very bright .",hasproperty,original
303,volcano,helens,mt . st . helens is a well - known volcano in washington .,category-exemplar-pairs,original
304,wasting,bad,he has a bad habit of wasting food .,emotion-evaluation,original
305,wasting,money,i do not like wasting money on unnecessary things .,action,original
306,weekend,yardwork,"this weekend , i will do yardwork .",time,original
307,woman,breasts,a woman has breasts that are typically larger than a man .,partof,original
308,working,computer,most working people use a computer for many hours during the day .,function,original
309,worried,scared,"when someone is worried about something , they are usually scared about that particular subject .",synonym,original
310,worry,weather,many people worry about the weather for different reasons .,emotion-evaluation,original
311,wounds,heal,"with time , most wounds heal .",action,original
312,writing,essay,she starts writing an essay for her college enrollment .,action,original
313,yelling,loud,if someone is yelling then they 're loud .,hasproperty,original
314,absent,present,present is the opposite of absent .,antonym,original
315,absent,missing,absent is the synonym of the missing,synonym,original
316,absent,present,the opposite of absent is present .,antonym,original
317,absolutely,utterly,absolutely has a similar meaning as utterly .,synonym,original
318,abstract,summary,an abstract can be said to be the summary of a publication .,category-exemplar-pairs,original
319,abstract,concrete,abstract is the opposite of concrete .,antonym,original
320,access,allowed,to access something you often need to be allowed .,has-prerequisite,original
321,access,entry,access is a synonym for entry .,synonym,original
322,actually,truly,actually is a synonym for truly .,synonym,original
323,additive,addition,additive is synonym of the addition,synonym,original
324,adept,skillful,adept is a synonym for skillful .,synonym,original
325,advantage,disadvantage,advantage is the opposite of disadvantage .,antonym,original
326,advantage,edge,advantage has a similar meaning as edge .,synonym,original
327,advertising,marketing,advertising is a key part of marketing .,partof,original
328,agreeable,disagreeable,the opposite of agreeable is disagreeable .,antonym,original
329,ahead,behind,behind is the opposite of ahead .,antonym,original
330,aliens,space,aliens live on other planets in space .,location,original
331,alien,space,an alien comes from outer space .,location,original
332,alien,space,an alien might come from outer space .,location,original
333,aliens,space,there probably are aliens in outer space .,location,original
334,ammunition,bullets,bullets are a type of ammunition .,category-exemplar-pairs,original
335,anger,aggression,anger is the synonym of the aggression,synonym,original
336,anger,rage,rage is another word to describe extreme anger,synonym,original
337,angled,fished,angled is another word for fished .,synonym,original
338,angle,gradient,angle has a similar meaning as gradient .,synonym,original
339,angle,slant,angle has a similar meaning as slant .,synonym,original
340,animal,bird,a bird is a type of animal .,category-exemplar-pairs,original
341,animal,cat,a cat is a common type of animal .,category-exemplar-pairs,original
342,animal,mammal,a mammal is a type of animal .,category-exemplar-pairs,original
343,animal,beast,animal defined as the beast,synonym,original
344,annually,yearly,annually has a similar meaning as yearly .,synonym,original
345,apartment,furnished,the apartment was expensive because it was fully furnished .,hasproperty,original
346,apartment,dwelling,an apartment is a type of dwelling .,category-exemplar-pairs,original
347,apartment,flat,apartment has a similar meaning as flat .,synonym,original
348,apple,fruit,an apple is a kind of fruit .,category-exemplar-pairs,original
349,apple,fruit,an apple is a sweet fruit .,category-exemplar-pairs,original
350,apple,fruit,an apple is a type of fruit .,category-exemplar-pairs,original
351,apple,fruits,an apple is one of the most common fruits in the world,category-exemplar-pairs,original
352,apple,fruit,apple is a delicious type of fruit .,category-exemplar-pairs,original
353,apple,fruit,apple is a sweet fruit .,category-exemplar-pairs,original
354,apple,green,i like to eat green apple more .,hasproperty,original
355,apple,red,he ate the red apple .,hasproperty,original
356,argument,debate,an argument is a form of debate with opposing views .,category-exemplar-pairs,original
357,aroused,sex,"to have sex , i need to be aroused .",has-prerequisite,original
358,assistance,social benefits,social benefits is a type of assistance that is needed .,category-exemplar-pairs,original
359,attend,accompany,attend is the synonym of the accompany,synonym,original
360,attend,missed,"if you missed the festival , you did not attend it .",antonym,original
361,avoid,confront,avoid is the opposite of confront .,antonym,original
362,aware,enlightened,aware has a similar meaning as enlightened .,synonym,original
363,bathrooms,cleaned,bathrooms need to be cleaned frequently .,has-prerequisite,original
364,battle,fight,a fight is a part of a battle .,partof,original
365,battle,war,a battle is a smaller part of a war .,partof,original
366,battle,war,war is another word for battle .,synonym,original
367,beautiful,handsome,beautiful has a similar meaning as handsome .,synonym,original
368,bedrooms,bed,bedrooms have a bed for you to sleep in .,partof,original
369,bedroom,bed,i went to my bedroom to lay on my bed .,partof,original
370,beginning,end,the opposite of beginning is end .,antonym,original
371,believable,credible,believable has a similar meaning as credible .,synonym,original
372,believable,likely,believable has a similar meaning as likely .,synonym,original
373,belong,consist,belong is also defined to the consist .,synonym,original
374,beret,hat,a beret is a type of hat .,category-exemplar-pairs,original
375,bicycle,pedals,a bicycle has two pedals .,partof,original
376,bicycle,ride,i last week bicycle ride with my friends,function,original
377,bicycle,ride,you can take your bicycle for a ride,function,original
378,bicycles,street,there are many bicycles in the street .,location,original
379,bicycle,cycling,cycling to work on my bicycle can be tough in heavy rain .,function,original
380,biggest,smallest,biggest is the opposite of smallest .,antonym,original
